date,window,structure,total_pnl,n_lots
2026-09-09,afternoon,balanced_iron_condor,1834.06,3
2026-09-09,midday,balanced_iron_condor,1791.3,3
2026-09-09,morning,balanced_iron_condor,1776.69,3
2026-09-10,afternoon,balanced_iron_condor,0.0,3
2026-09-10,midday,balanced_iron_condor,0.0,3
2026-09-10,morning,balanced_iron_condor,1889.04,3
2026-09-11,afternoon,balanced_iron_condor,0.0,3
2026-09-11,midday,balanced_iron_condor,0.0,3
2026-09-11,morning,balanced_iron_condor,0.0,3
2026-09-14,morning,balanced_iron_condor,-75.0,3
2026-09-14,afternoon,balanced_iron_condor,0.0,3
2026-09-14,midday,balanced_iron_condor,0.0,3
2026-09-15,afternoon,balanced_iron_condor,0.0,3
2026-09-15,midday,balanced_iron_condor,0.0,3
2026-09-15,morning,balanced_iron_condor,0.0,3
2026-09-16,morning,balanced_iron_condor,-2392.5,3
2026-09-16,afternoon,call_credit_spread,0.0,3
2026-09-16,midday,call_credit_spread,0.0,3
2026-09-17,morning,balanced_iron_condor,-150.0,3
2026-09-17,afternoon,balanced_iron_condor,0.0,3
2026-09-17,midday,balanced_iron_condor,0.0,3
2026-09-18,morning,balanced_iron_condor,-255.0,3
2026-09-18,afternoon,balanced_iron_condor,0.0,3
2026-09-18,midday,balanced_iron_condor,0.0,3
2026-09-21,morning,balanced_iron_condor,-1065.0,3
2026-09-21,afternoon,balanced_iron_condor,0.0,3
2026-09-21,midday,put_credit_spread,0.0,3
2026-09-22,afternoon,balanced_iron_condor,0.0,3
2026-09-22,midday,balanced_iron_condor,0.0,3
2026-09-22,morning,balanced_iron_condor,0.0,3
